Open Date;Close Date;Symbol;Action;Units/Lots;SL;TP;Open Price;Close Price;Pips;Gain;Duration (DD:HH:MM:SS);Profitable(%);Profitable(time duration);Drawdown;Risk:Reward;Max(pips);Max(EUR);Min(pips);Min(EUR);Entry Accuracy(%);Exit Accuracy(%);ProfitMissed(pips);ProfitMissed(EUR)
02/17/2012 05:45;02/17/2012 07:45;GBPUSD;Buy;60;156814;158514;158014;158063;49;22;00:02:00:06;;;;;;;;;;;;
02/17/2012 00:30;02/17/2012 02:45;EURUSD;Buy;60;130965;131595;131295;131327;32;13;00:02:14:57;;;;;;;;;;;;
02/17/2012 00:30;02/17/2012 02:45;EURUSD;Buy;60;130090;131550;131290;131330;40;17;00:02:14:56;;;;;;;;;;;;
02/17/2012 01:00;02/17/2012 02:04;AUDUSD;Buy;30;105992;108192;107492;107584;92;22;00:01:04:01;;;;;;;;;;;;
02/17/2012 00:30;02/17/2012 02:00;GBPUSD;Buy;60;156765;158465;157965;158044;79;38;00:01:30:00;;;;;;;;;;;;
02/16/2012 16:21;02/16/2012 21:34;EURUSD;Sell;60;131384;129924;130184;131384;-1200;-596;00:05:12:37;;;;;;;;;;;;
02/16/2012 16:15;02/16/2012 17:35;EURUSD;Sell;60;130505;129875;130175;130505;-330;-165;00:01:19:40;;;;;;;;;;;;
02/16/2012 16:15;02/16/2012 16:21;EURUSD;Sell;70;130168;129918;130178;130168;10;2;00:00:05:55;;;;;;;;;;;;
02/15/2012 08:00;02/15/2012 11:30;USDJPY;Buy;60;7713600;7870600;7843600;7851700;81;47;00:03:30:06;;;;;;;;;;;;
02/15/2012 04:30;02/15/2012 10:00;GBPUSD;Sell;70;158244;156544;157044;157169;-125;-75;00:05:30:03;;;;;;;;;;;;
02/13/2012 14:00;02/15/2012 05:37;NZDUSD;Buy;40;82232;84032;83532;83733;201;65;01:15:36:57;;;;;;;;;;;;
02/14/2012 23:03;02/15/2012 03:15;EURUSD;Sell;60;131511;130881;131181;131162;19;6;00:04:11:48;;;;;;;;;;;;
02/14/2012 23:00;02/15/2012 02:45;USDCHF;Buy;70;90874;92244;92074;92004;-70;-47;00:03:44:38;;;;;;;;;;;;
02/14/2012 23:03;02/15/2012 02:43;EURUSD;Sell;60;132385;130925;131185;131252;-67;-36;00:03:40:27;;;;;;;;;;;;
02/14/2012 23:01;02/15/2012 02:30;GBPUSD;Sell;60;158033;156333;156833;156852;-19;-13;00:03:28:36;;;;;;;;;;;;
02/14/2012 06:30;02/14/2012 08:27;USDCHF;Buy;60;91749;91919;91749;91919;170;87;00:01:57:03;;;;;;;;;;;;
02/13/2012 00:15;02/13/2012 17:16;AUDUSD;Sell;40;108364;106164;106864;107262;-398;-129;00:17:01:49;;;;;;;;;;;;
02/13/2012 00:15;02/13/2012 02:45;EURUSD;Sell;70;133287;131827;132087;132083;4;-2;00:02:30:00;;;;;;;;;;;;
02/10/2012 19:45;02/10/2012 22:08;USDCHF;Buy;70;90491;91861;91691;91803;112;65;00:02:23:45;;;;;;;;;;;;
02/10/2012 20:00;02/10/2012 20:40;EURUSD;Sell;60;131867;131617;131917;131773;144;67;00:00:39:42;;;;;;;;;;;;
02/10/2012 20:00;02/10/2012 20:40;EURUSD;Sell;60;131913;131663;131923;131780;143;67;00:00:39:59;;;;;;;;;;;;
02/10/2012 01:15;02/10/2012 02:15;USDJPY;Buy;70;7633400;7790400;7763400;7773200;98;68;00:01:00:00;;;;;;;;;;;;
02/09/2012 20:45;02/09/2012 22:13;EURUSD;Buy;70;132860;133110;132850;132860;10;2;00:01:28:00;;;;;;;;;;;;
02/08/2012 22:00;02/09/2012 05:00;USDCHF;Sell;70;92512;91142;91312;91321;-9;-12;00:06:59:54;;;;;;;;;;;;
02/08/2012 22:00;02/08/2012 22:09;EURUSD;Buy;60;132524;132774;132514;132653;139;65;00:00:09:19;;;;;;;;;;;;
02/08/2012 12:01;02/08/2012 13:12;EURUSD;Buy;60;132626;132876;132576;132788;212;102;00:01:11:03;;;;;;;;;;;;
02/08/2012 12:00;02/08/2012 13:12;EURUSD;Buy;60;132594;132844;132584;132789;205;99;00:01:11:47;;;;;;;;;;;;
02/08/2012 12:00;02/08/2012 12:56;USDCHF;Sell;60;92563;91193;91363;91254;109;57;00:00:56:22;;;;;;;;;;;;
02/08/2012 09:00;02/08/2012 11:58;USDJPY;Buy;60;7701900;7726900;7699900;7716200;163;104;00:02:57:59;;;;;;;;;;;;
02/08/2012 02:15;02/08/2012 07:30;USDCHF;Sell;60;92449;91079;91249;91232;17;6;00:05:14:56;;;;;;;;;;;;
02/08/2012 02:15;02/08/2012 02:37;EURUSD;Buy;60;132461;132711;132451;132636;185;92;00:00:21:57;;;;;;;;;;;;
02/07/2012 21:45;02/08/2012 02:30;USDJPY;Buy;60;7553100;7710100;7683100;7683800;7;0;00:04:44:51;;;;;;;;;;;;
02/07/2012 13:15;02/07/2012 15:33;AUDUSD;Buy;40;107827;108517;107817;107981;164;55;00:02:17:59;;;;;;;;;;;;
02/07/2012 01:15;02/07/2012 03:45;USDCHF;Sell;60;93125;91755;91925;91904;21;8;00:02:30:00;;;;;;;;;;;;
02/06/2012 18:00;02/07/2012 01:00;USDCHF;Buy;60;91060;92430;92260;91921;-339;-193;00:07:00:01;;;;;;;;;;;;
02/06/2012 14:30;02/06/2012 15:06;USDCHF;Buy;60;91097;92467;92297;92411;114;61;00:00:36:10;;;;;;;;;;;;
02/06/2012 00:15;02/06/2012 10:00;AUDUSD;Buy;40;106106;108306;107606;107347;-259;-91;00:09:44:39;;;;;;;;;;;;
02/06/2012 02:30;02/06/2012 04:30;USDJPY;Buy;60;7521200;7678200;7651200;7658700;75;47;00:02:00:00;;;;;;;;;;;;
02/02/2012 05:30;02/02/2012 08:30;USDCHF;Sell;60;92682;91312;91482;91491;-9;-9;00:03:00:00;;;;;;;;;;;;
02/02/2012 07:30;02/02/2012 08:23;AUDUSD;Buy;40;105661;107861;107161;107243;82;26;00:00:53:26;;;;;;;;;;;;
02/01/2012 21:00;02/02/2012 02:00;AUDUSD;Buy;40;105570;107770;107070;107154;84;34;00:04:59:57;;;;;;;;;;;;
02/01/2012 20:30;02/02/2012 00:15;GBPUSD;Buy;60;157247;158947;158447;158393;-54;-30;00:03:44:59;;;;;;;;;;;;
02/01/2012 21:15;02/02/2012 00:15;USDCHF;Sell;60;92758;91388;91558;91500;58;27;00:03:00:05;;;;;;;;;;;;
01/31/2012 15:15;02/01/2012 11:29;USDCHF;Sell;60;92643;91273;91443;91838;-395;-222;00:20:14:44;;;;;;;;;;;;
01/31/2012 22:15;02/01/2012 03:00;USDCHF;Buy;60;90809;92179;92009;92070;61;30;00:04:44:56;;;;;;;;;;;;
02/01/2012 01:00;02/01/2012 02:04;EURUSD;Sell;60;130851;130601;130901;130746;155;76;00:01:03:58;;;;;;;;;;;;
01/31/2012 22:15;02/01/2012 00:21;EURUSD;Sell;60;130861;130611;130871;130861;10;2;00:02:06:20;;;;;;;;;;;;
01/31/2012 22:16;01/31/2012 23:55;EURUSD;Sell;60;130841;130591;130891;130841;50;22;00:01:39:05;;;;;;;;;;;;
01/31/2012 15:15;01/31/2012 16:10;AUDUSD;Buy;40;105053;107253;106553;106651;98;31;00:00:55:00;;;;;;;;;;;;
01/31/2012 08:45;01/31/2012 11:00;USDCHF;Sell;60;92667;91297;91467;91391;76;39;00:02:14:59;;;;;;;;;;;;
01/30/2012 23:00;01/31/2012 02:15;USDJPY;Sell;60;7764200;7607200;7634200;7629600;46;26;00:03:15:02;;;;;;;;;;;;
01/30/2012 08:00;01/30/2012 18:00;EURUSD;Buy;70;130509;131969;131709;131134;-575;-340;00:09:59:59;;;;;;;;;;;;
01/30/2012 08:00;01/30/2012 17:00;USDCHF;Sell;60;92763;91393;91563;91865;-302;-165;00:08:59:49;;;;;;;;;;;;
01/30/2012 02:04;01/30/2012 05:30;EURUSD;Buy;60;130873;132333;132073;131948;-125;-64;00:03:25:44;;;;;;;;;;;;
01/30/2012 02:00;01/30/2012 05:30;USDCHF;Sell;70;92521;91151;91321;91394;-73;-49;00:03:29:51;;;;;;;;;;;;
01/30/2012 02:45;01/30/2012 03:45;USDJPY;Sell;60;7806900;7649900;7676900;7672600;43;24;00:01:00:04;;;;;;;;;;;;
01/30/2012 02:00;01/30/2012 03:39;EURUSD;Buy;70;131745;132375;132075;131740;-335;-190;00:01:39:51;;;;;;;;;;;;
01/27/2012 11:00;01/27/2012 11:36;USDJPY;Sell;70;7714700;7689700;7716700;7702000;147;104;00:00:35:54;;;;;;;;;;;;
01/26/2012 21:00;01/27/2012 05:30;GBPUSD;Buy;70;155683;157383;156883;156814;-69;-42;00:08:30:07;;;;;;;;;;;;
01/26/2012 20:45;01/27/2012 05:00;USDCHF;Sell;70;93260;91890;92060;92117;-57;-39;00:08:15:01;;;;;;;;;;;;
01/26/2012 19:32;01/26/2012 20:21;EURUSD;Buy;70;131433;131683;131423;131433;10;2;00:00:48:10;;;;;;;;;;;;
01/26/2012 19:30;01/26/2012 20:16;AUDUSD;Buy;40;104845;107045;106345;106426;81;24;00:00:46:38;;;;;;;;;;;;
01/26/2012 18:00;01/26/2012 18:27;AUDUSD;Buy;40;104977;107177;106477;106558;81;24;00:00:27:00;;;;;;;;;;;;
01/26/2012 17:45;01/26/2012 18:01;EURUSD;Buy;60;131478;131728;131428;131569;141;65;00:00:15:58;;;;;;;;;;;;
01/26/2012 17:45;01/26/2012 18:01;USDCHF;Sell;70;91859;91689;91859;91728;131;77;00:00:15:57;;;;;;;;;;;;
01/26/2012 13:45;01/26/2012 15:23;GBPUSD;Buy;70;155630;157330;156830;157013;183;101;00:01:38:09;;;;;;;;;;;;
01/26/2012 02:15;01/26/2012 04:30;USDCHF;Sell;70;93414;92044;92214;92192;22;10;00:02:15:32;;;;;;;;;;;;
01/26/2012 03:00;01/26/2012 03:34;EURUSD;Buy;60;130975;131225;130965;130975;10;2;00:00:34:46;;;;;;;;;;;;
01/25/2012 14:45;01/25/2012 16:45;USDJPY;Buy;60;7677500;7834500;7807500;7812000;45;26;00:02:00:00;;;;;;;;;;;;
01/24/2012 20:45;01/24/2012 21:15;USDJPY;Buy;60;7638400;7795400;7768400;7776700;83;50;00:00:29:59;;;;;;;;;;;;
01/24/2012 04:45;01/24/2012 07:38;USDCHF;Sell;60;94052;92682;92852;92739;113;58;00:02:53:02;;;;;;;;;;;;
01/23/2012 18:45;01/23/2012 22:47;AUDUSD;Buy;40;103827;106027;105327;105408;81;25;00:04:02:12;;;;;;;;;;;;
01/23/2012 19:15;01/23/2012 22:19;EURUSD;Buy;60;130149;130399;130099;130242;143;69;00:03:04:26;;;;;;;;;;;;
01/23/2012 19:15;01/23/2012 22:15;USDCHF;Sell;60;94012;92642;92812;92748;64;32;00:02:59:58;;;;;;;;;;;;
01/23/2012 19:15;01/23/2012 22:00;EURUSD;Buy;60;128901;130361;130101;130153;52;23;00:02:45:01;;;;;;;;;;;;
01/23/2012 18:15;01/23/2012 18:29;AUDUSD;Buy;40;103870;106070;105370;105469;99;32;00:00:14:02;;;;;;;;;;;;
01/23/2012 02:00;01/23/2012 04:45;GBPUSD;Buy;60;154238;155938;155438;155498;60;28;00:02:45:04;;;;;;;;;;;;
01/20/2012 13:15;01/20/2012 16:07;USDJPY;Buy;60;7582900;7739900;7712900;7726000;131;85;00:02:52:25;;;;;;;;;;;;
01/20/2012 10:16;01/20/2012 16:00;USDCHF;Sell;60;94517;93147;93317;93423;-106;-63;00:05:43:54;;;;;;;;;;;;
01/20/2012 10:33;01/20/2012 16:00;EURUSD;Buy;60;128275;129735;129475;129199;-276;-145;00:05:26:20;;;;;;;;;;;;
01/20/2012 10:15;01/20/2012 14:30;GBPUSD;Buy;60;153636;155336;154836;154746;-90;-49;00:04:14:50;;;;;;;;;;;;
01/20/2012 10:17;01/20/2012 10:33;EURUSD;Buy;60;129463;129713;129453;129463;10;2;00:00:15:55;;;;;;;;;;;;
01/20/2012 03:15;01/20/2012 06:15;EURUSD;Buy;60;128378;129838;129578;129633;55;25;00:03:00:00;;;;;;;;;;;;
01/20/2012 00:05;01/20/2012 03:15;USDJPY;Buy;60;7580800;7737800;7710800;7717800;70;43;00:03:10:07;;;;;;;;;;;;
01/19/2012 16:45;01/19/2012 18:38;USDCHF;Sell;60;94941;93571;93741;93615;126;66;00:01:53:17;;;;;;;;;;;;
01/19/2012 16:45;01/19/2012 18:07;EURUSD;Buy;60;128887;129137;128877;128887;10;2;00:01:21:56;;;;;;;;;;;;
01/19/2012 16:45;01/19/2012 17:59;EURUSD;Buy;60;128913;129163;128863;128913;50;23;00:01:14:37;;;;;;;;;;;;
01/19/2012 03:30;01/19/2012 04:14;EURUSD;Buy;60;128490;128740;128480;128633;153;77;00:00:44:00;;;;;;;;;;;;
01/18/2012 08:30;01/18/2012 09:14;USDCHF;Sell;60;94814;94644;94814;94671;143;77;00:00:44:00;;;;;;;;;;;;
01/17/2012 15:45;01/18/2012 05:51;NZDUSD;Buy;40;78675;80475;79975;80222;247;87;00:14:05:46;;;;;;;;;;;;
01/17/2012 15:45;01/17/2012 23:15;EURUSD;Buy;60;126409;127869;127609;127396;-213;-117;00:07:29:50;;;;;;;;;;;;
01/17/2012 15:45;01/17/2012 23:15;USDCHF;Sell;60;95953;94583;94753;94933;-180;-103;00:07:29:38;;;;;;;;;;;;
01/17/2012 16:25;01/17/2012 17:28;AUDUSD;Buy;40;102421;104621;103921;104002;81;26;00:01:03:25;;;;;;;;;;;;
01/17/2012 16:00;01/17/2012 16:21;AUDUSD;Buy;30;102418;104618;103918;103999;81;20;00:00:21:54;;;;;;;;;;;;
01/17/2012 15:45;01/17/2012 16:10;EURUSD;Buy;60;127305;127935;127635;127305;-330;-175;00:00:25:10;;;;;;;;;;;;
01/17/2012 15:00;01/17/2012 15:13;AUDUSD;Buy;40;102578;104778;104078;104157;79;25;00:00:13:00;;;;;;;;;;;;
01/16/2012 16:30;01/16/2012 19:45;USDCHF;Buy;60;94136;95506;95336;95403;67;34;00:03:15:16;;;;;;;;;;;;
01/16/2012 09:42;01/16/2012 12:15;EURUSD;Sell;60;127725;126265;126525;126481;44;20;00:02:32:57;;;;;;;;;;;;
01/16/2012 10:15;01/16/2012 10:39;USDCHF;Buy;60;94098;95468;95298;95413;115;60;00:00:24:05;;;;;;;;;;;;
01/16/2012 09:30;01/16/2012 09:42;EURUSD;Sell;60;126532;126282;126542;126532;10;2;00:00:12:02;;;;;;;;;;;;
01/16/2012 06:00;01/16/2012 07:45;USDCHF;Buy;60;94219;95589;95419;95545;126;67;00:01:45:00;;;;;;;;;;;;
01/13/2012 22:15;01/16/2012 00:05;USDCHF;Buy;60;94106;95476;95306;95435;129;69;02:01:50:02;;;;;;;;;;;;
01/13/2012 11:30;01/13/2012 17:06;USDCHF;Sell;70;95505;94135;94305;95505;-1200;-734;00:05:36:12;;;;;;;;;;;;
01/12/2012 22:45;01/13/2012 06:30;USDCHF;Sell;70;95583;94213;94383;94425;-42;-30;00:07:45:02;;;;;;;;;;;;
01/13/2012 00:13;01/13/2012 02:45;EURUSD;Buy;60;127837;128467;128167;128185;18;6;00:02:31:42;;;;;;;;;;;;
01/12/2012 23:45;01/13/2012 02:45;EURUSD;Buy;60;127023;128483;128223;128205;-18;-12;00:02:59:52;;;;;;;;;;;;
01/12/2012 23:00;01/13/2012 01:15;USDJPY;Sell;60;7808900;7651900;7678900;7676000;29;14;00:02:15:02;;;;;;;;;;;;
01/10/2012 19:30;01/10/2012 19:56;AUDUSD;Buy;40;101575;103775;103075;103157;82;25;00:00:26:56;;;;;;;;;;;;
01/10/2012 09:45;01/10/2012 11:27;USDCHF;Sell;70;94881;94711;94881;94768;113;65;00:01:42:03;;;;;;;;;;;;
01/10/2012 10:15;01/10/2012 10:19;AUDUSD;Buy;40;101358;103558;102858;102937;79;24;00:00:04:55;;;;;;;;;;;;
01/09/2012 15:15;01/09/2012 21:15;USDJPY;Sell;60;7819300;7662300;7689300;7682400;69;42;00:06:00:01;;;;;;;;;;;;
01/09/2012 07:15;01/09/2012 15:15;AUDUSD;Sell;40;103239;101039;101739;102081;-342;-115;00:08:00:04;;;;;;;;;;;;
01/09/2012 07:30;01/09/2012 15:00;EURUSD;Sell;60;128286;126826;127086;127398;-312;-156;00:07:30:00;;;;;;;;;;;;
01/09/2012 03:30;01/09/2012 13:30;USDCHF;Buy;70;94454;95824;95654;95321;-333;-199;00:10:00:03;;;;;;;;;;;;
12/16/2011 09:45;12/16/2011 11:02;USDCHF;Sell;70;95261;93891;94061;93940;121;67;00:01:16:57;;;;;;;;;;;;
12/15/2011 10:45;12/15/2011 11:03;AUDUSD;Sell;40;100690;98490;99190;99117;73;21;00:00:18:18;;;;;;;;;;;;
12/15/2011 09:00;12/15/2011 10:40;USDCHF;Buy;70;94071;95441;95271;94071;-1200;-660;00:01:40:07;;;;;;;;;;;;
12/15/2011 10:01;12/15/2011 10:09;AUDUSD;Sell;40;99175;98485;99185;99004;181;52;00:00:07:44;;;;;;;;;;;;
12/15/2011 05:30;12/15/2011 07:45;EURUSD;Sell;70;129917;129667;129967;129826;141;70;00:02:15:01;;;;;;;;;;;;
12/15/2011 05:00;12/15/2011 06:15;USDCHF;Buy;70;94124;95494;95324;95349;25;10;00:01:15:01;;;;;;;;;;;;
12/15/2011 01:45;12/15/2011 04:00;EURUSD;Sell;70;131089;129629;129889;129819;70;33;00:02:15:01;;;;;;;;;;;;
12/14/2011 19:15;12/14/2011 23:00;GBPUSD;Sell;70;155907;154207;154707;154693;14;4;00:03:45:51;;;;;;;;;;;;
12/14/2011 05:30;12/14/2011 10:00;USDJPY;Buy;70;7663500;7820500;7793500;7797900;44;26;00:04:30:41;;;;;;;;;;;;
12/14/2011 08:15;12/14/2011 09:57;USDCHF;Buy;70;93281;94651;94481;94592;111;58;00:01:41:56;;;;;;;;;;;;
12/14/2011 08:15;12/14/2011 08:50;EURUSD;Sell;70;130422;130172;130432;130286;146;74;00:00:34:53;;;;;;;;;;;;
12/14/2011 08:30;12/14/2011 08:39;AUDUSD;Sell;40;101780;99580;100280;100149;131;38;00:00:09:02;;;;;;;;;;;;
12/14/2011 05:49;12/14/2011 07:32;AUDUSD;Sell;40;101674;99474;100174;100061;113;32;00:01:42:12;;;;;;;;;;;;
12/14/2011 02:15;12/14/2011 07:30;USDCHF;Buy;70;93305;94675;94505;94562;57;29;00:05:14:59;;;;;;;;;;;;
12/14/2011 05:30;12/14/2011 05:49;AUDUSD;Sell;40;101739;99539;100239;100158;81;23;00:00:19:17;;;;;;;;;;;;
12/14/2011 01:15;12/14/2011 03:48;GBPUSD;Sell;70;156084;154384;154884;154709;175;91;00:02:32:55;;;;;;;;;;;;
12/14/2011 01:15;12/14/2011 01:47;USDCHF;Buy;60;93335;94705;94535;94705;170;81;00:00:32:30;;;;;;;;;;;;
12/14/2011 01:15;12/14/2011 01:45;EURUSD;Sell;70;130362;130112;130372;130276;96;49;00:00:29:47;;;;;;;;;;;;
12/13/2011 21:00;12/13/2011 21:15;USDCHF;Buy;70;92892;94262;94092;94203;111;61;00:00:14:59;;;;;;;;;;;;
12/13/2011 05:15;12/13/2011 17:30;AUDUSD;Sell;40;102242;100042;100742;101138;-396;-125;00:12:15:30;;;;;;;;;;;;
12/13/2011 10:15;12/13/2011 10:55;USDCHF;Buy;70;92401;93771;93601;93716;115;63;00:00:40:49;;;;;;;;;;;;
12/13/2011 10:30;12/13/2011 10:51;EURUSD;Sell;70;132039;131749;132049;131899;150;78;00:00:21:44;;;;;;;;;;;;
12/13/2011 03:15;12/13/2011 09:45;GBPUSD;Sell;70;157145;155445;155945;155933;12;3;00:06:29:58;;;;;;;;;;;;
12/13/2011 04:45;12/13/2011 09:30;EURUSD;Sell;70;131831;131581;131881;131749;132;69;00:04:45:00;;;;;;;;;;;;
12/13/2011 05:45;12/13/2011 09:01;USDCHF;Buy;60;92487;93857;93687;93749;62;28;00:03:16:33;;;;;;;;;;;;
12/13/2011 05:15;12/13/2011 08:30;USDJPY;Buy;60;7659700;7816700;7789700;7790000;3;-1;00:03:14:53;;;;;;;;;;;;
12/13/2011 03:15;12/13/2011 03:55;EURUSD;Sell;70;131851;131561;131861;131851;10;2;00:00:39:58;;;;;;;;;;;;
12/13/2011 03:15;12/13/2011 03:55;EURUSD;Sell;70;131844;131554;131854;131844;10;2;00:00:39:54;;;;;;;;;;;;
12/09/2011 12:15;12/12/2011 11:37;NZDUSD;Sell;40;78156;76356;76856;76651;205;60;02:23:22:32;;;;;;;;;;;;
12/09/2011 12:41;12/12/2011 09:45;AUDUSD;Sell;40;102646;100446;101146;101545;-399;-131;02:21:03:23;;;;;;;;;;;;
12/09/2011 12:30;12/09/2011 12:40;AUDUSD;Sell;40;102654;100454;101154;101071;83;24;00:00:10:00;;;;;;;;;;;;
12/08/2011 21:15;12/09/2011 05:15;USDCHF;Buy;70;91459;92829;92659;92639;-20;-15;00:08:00:20;;;;;;;;;;;;
12/09/2011 03:30;12/09/2011 05:05;NZDUSD;Sell;40;78684;76884;77384;77140;244;74;00:01:35:01;;;;;;;;;;;;
12/09/2011 04:15;12/09/2011 04:42;AUDUSD;Sell;40;103377;101177;101877;101798;79;23;00:00:27:47;;;;;;;;;;;;
12/08/2011 22:30;12/08/2011 22:45;AUDUSD;Sell;40;101958;101268;101968;101700;268;83;00:00:14:59;;;;;;;;;;;;
12/08/2011 21:15;12/08/2011 22:38;EURUSD;Sell;70;134612;133152;133412;133747;-335;-185;00:01:23:40;;;;;;;;;;;;
12/08/2011 16:30;12/08/2011 22:00;USDJPY;Sell;70;7870700;7713700;7740700;7766400;-257;-180;00:05:29:57;;;;;;;;;;;;
12/08/2011 10:15;12/08/2011 10:56;GBPUSD;Buy;70;155745;157445;156945;157125;180;92;00:00:41:38;;;;;;;;;;;;
12/07/2011 01:45;12/07/2011 09:30;USDCHF;Buy;70;91332;92702;92532;92542;10;2;00:07:45:02;;;;;;;;;;;;
12/06/2011 12:30;12/06/2011 15:30;USDCHF;Buy;70;91216;92586;92416;92484;68;36;00:03:00:00;;;;;;;;;;;;
